ticker,company,revin_mae,baseline_mae,delta_mae_revin_minus_baseline,revin_rmse,baseline_rmse,delta_rmse_revin_minus_baseline,revin_mse,baseline_mse,delta_mse_revin_minus_baseline
BHARTIARTL.NS,Bharti Airtel Ltd.,84.98633,95.09528,-10.108955,99.780136,116.221085,-16.440948,9956.076,13507.34,-3551.2637
INFY.NS,Infosys Ltd.,94.31007,98.07786,-3.7677917,118.479836,113.50345,4.976387,14037.472,12883.032,1154.4395
RELIANCE.NS,Reliance Industries Ltd.,81.70241,84.359276,-2.656868,96.14868,95.514145,0.63453674,9244.569,9122.952,121.61719
POWERGRID.NS,Power Grid Corporation,16.160349,15.162014,0.9983349,18.964184,17.236053,1.7281303,359.6403,297.08154,62.558746
KOTAKBANK.NS,Kotak Mahindra Bank,9.968876,8.574123,1.3947525,12.947052,10.977194,1.9698582,167.62614,120.49879,47.127357
HCLTECH.NS,HCL Technologies Ltd.,89.21067,87.56443,1.6462402,105.796585,102.72146,3.0751266,11192.918,10551.697,641.2207
BAJAJFINSV.NS,Bajaj Finance Ltd.,51.532887,49.53596,1.9969254,65.66114,64.452065,1.2090759,4311.3857,4154.0684,157.31738
SUNPHARMA.NS,Sun Pharmaceutical Industries,68.716545,66.61449,2.1020584,83.549126,80.10235,3.4467773,6980.4565,6416.3867,564.0698
WIPRO.NS,Wipro Ltd.,15.392846,12.603024,2.7898226,20.860214,16.490597,4.3696175,435.14853,271.93976,163.20877
ITC.NS,ITC Ltd.,38.81431,33.511284,5.3030243,53.11142,40.911964,12.199455,2820.823,1673.7887,1147.0343
HDFCBANK.NS,HDFC Bank Ltd.,38.465706,31.318632,7.1470737,50.434326,35.434658,14.999668,2543.621,1255.6149,1288.0062
ICICIBANK.NS,ICICI Bank Ltd.,42.231796,22.565063,19.666733,48.963352,28.646198,20.317154,2397.41,820.6047,1576.8052
AXISBANK.NS,Axis Bank Ltd.,111.71299,66.918465,44.794525,131.8149,84.02788,47.787018,17375.166,7060.684,10314.482
LT.NS,Larsen & Toubro (L&T),274.07098,227.61633,46.45465,308.93674,266.11798,42.818756,95441.914,70818.77,24623.14
ASIANPAINT.NS,Asian Paints Ltd.,294.94907,247.57301,47.376053,333.1381,286.77136,46.36673,110980.99,82237.82,28743.172
HINDUNILVR.NS,Hindustan Unilever Ltd. (HUL),106.69741,53.85426,52.84315,128.91182,67.47379,61.438026,16618.256,4552.7124,12065.543
TCS.NS,Tata Consultancy Services (TCS),180.16339,118.22171,61.94168,218.9624,178.12755,40.834854,47944.53,31729.424,16215.107
SBIN.NS,State Bank of India (SBI),156.0804,78.77118,77.30922,182.79936,109.35138,73.44798,33415.61,11957.724,21457.887
